,ref,file,ref_parsed,year,identifier
4162,"Thompson, P. W. (1994a). Images of Rate and Operational Understanding of the Fundamental Theorem of Calculus. Educational Studies in Mathematics, 26(2), 229–274.",import2016short/152,"Thompson, P. W. (1994a)",1994.0,"Thompson, P. W. (1994a). Images of Rate and Operational Understanding of the Fundamental Theorem of Calculus"
4163,"Thompson, P. W. (1994b). The Development of the Concept of Speed and its Relationship to Concepts of Rate. In G. Harel & J. Confrey (Eds.), The development of multiplicative reasoning in the learning of mathematics (pp. 181-234). Albany, NY: SUNY Press.",import2016short/152,"Thompson, P. W. (1994b)",1994.0,"Thompson, P. W. (1994b). The Development of the Concept of Speed and its Relationship to Concepts of Rate"
4164,"Thompson, P. W. (1996). Imagery and the development of mathematical reasoning. In L. P. Steffe, B. Greer, P. Nesher, P. Cobb, & G. Goldin (Ed.), Theories of learning mathematics (pp. 267-283). Hillsdale, NJ: Erlbaum.",import2016short/152,"Thompson, P. W. (1996)",1996.0,"Thompson, P. W. (1996). Imagery and the development of mathematical reasoning"
4165,"Thompson, P. W., & Carlson, M. P. (in press). Variation, covariation, and functions: Foundational ways of thinking in mathematics. In J. Cai (Ed.), Third handbook of research in mathematics education. Reston,",import2016short/152,"Thompson, P. W., & Carlson, M. P. (in press",,"Thompson, P. W., & Carlson, M. P. (in press)"
4166,"VA: National Council of Teachers of Mathematics. U.S. Department of Education, National Center for Education Statistics. (2015). The Condition of Education, 2015 (NCES 2015-144), High School Coursetaking.",import2016short/152,"VA: National Council of Teachers of Mathematics. U.S. Department of Education, National Center for Education Statistics. (2015)",2015.0,"VA: National Council of Teachers of Mathematics. U.S. Department of Education, National Center for Education Statistics. (2015). The Condition of Education, 2015 (NCES 2015-144), High School Coursetaking"
4167,"Chiu, J. L., & Linn, M. C. (2011). Knowledge integration and WISE engineering.Journal of Pre-College Engineering Education Research (J-PEER), 1(1), 2.",import2016short/106,"Chiu, J. L., & Linn, M. C. (2011)",2011.0,"Chiu, J. L., & Linn, M. C. (2011). Knowledge integration and WISE engineering"
4168,"Conati, C., Fratamico, L., Kardan, S., & Roll, I. (2015, June). Comparing Representations for Learner Models in Interactive Simulations. In Artificial Intelligence in Education (pp. 74-83). Springer International Publishing.",import2016short/106,"Conati, C., Fratamico, L., Kardan, S., & Roll, I. (2015, June)",2015.0,"Conati, C., Fratamico, L., Kardan, S., & Roll, I. (2015, June). Comparing Representations for Learner Models in Interactive Simulations"
4169,"Crismond, D. (2001). Learning and using science ideas when doing investigate‐and‐redesign tasks: A study of naive, novice, and expert designers doing constrained and scaffolded design work. Journal of Research in Science Teaching, 38(7), 791-820.",import2016short/106,"Crismond, D. (2001)",2001.0,"Crismond, D. (2001). Learning and using science ideas when doing investigate‐and‐redesign tasks: A study of naive, novice, and expert designers doing constrained and scaffolded design work"
4170,"Linn, M. C., & Eylon, B. S. (2011). Science learning and instruction: Taking advantage of technology to promote knowledge integration. Routledge.",import2016short/106,"Linn, M. C., & Eylon, B. S. (2011)",2011.0,"Linn, M. C., & Eylon, B. S. (2011). Science learning and instruction: Taking advantage of technology to promote knowledge integration"
4171,"Liu, O. L., Lee, H. S., Hofstetter, C., & Linn, M. C. (2008). Assessing knowledge integration in science: Construct, measures, and evidence. Educational Assessment, 13(1), 33-55.",import2016short/106,"Liu, O. L., Lee, H. S., Hofstetter, C., & Linn, M. C. (2008)",2008.0,"Liu, O. L., Lee, H. S., Hofstetter, C., & Linn, M. C. (2008). Assessing knowledge integration in science: Construct, measures, and evidence"
4172,"McElhaney, K. W., & Linn, M. C. (2011). Investigations of a complex, realistic task: Intentional, unsystematic, and exhaustive experimenters. Journal of Research in Science Teaching, 48(7), 745-770.",import2016short/106,"McElhaney, K. W., & Linn, M. C. (2011)",2011.0,"McElhaney, K. W., & Linn, M. C. (2011). Investigations of a complex, realistic task: Intentional, unsystematic, and exhaustive experimenters"
4173,"NGSS Lead States. (2013). Next Generation Science Standards: For States, By States.",import2016short/106,NGSS Lead States. (2013),2013.0,"NGSS Lead States. (2013). Next Generation Science Standards: For States, By States"
4174,"Snir, J., Smith, C., & Grosslight, L. (1993). Conceptually enhanced simulations: A computer tool for science teaching. Journal of Science Education and Technology, 2(2), 373–388.",import2016short/106,"Snir, J., Smith, C., & Grosslight, L. (1993)",1993.0,"Snir, J., Smith, C., & Grosslight, L. (1993). Conceptually enhanced simulations: A computer tool for science teaching"
4175,"Wilensky, U. (1999). {NetLogo}.",import2016short/106,"Wilensky, U. (1999)",1999.0,"Wilensky, U. (1999). {NetLogo}"
4176,"Wilensky, U., & Reisman, K. (2006). Thinking like a wolf, a sheep, or a firefly: Learning biology through constructing and testing computational theories—an embodied modeling approach. Cognition and instruction, 24(2), 171-209.",import2016short/106,"Wilensky, U., & Reisman, K. (2006)",2006.0,"Wilensky, U., & Reisman, K. (2006). Thinking like a wolf, a sheep, or a firefly: Learning biology through constructing and testing computational theories—an embodied modeling approach"
4177,"Billig, M. (1987). Arguing and thinking: A rhetorical approach to social psychology. Cambridge: Cambridge University Press.",import2016short/99,"Billig, M. (1987)",1987.0,"Billig, M. (1987). Arguing and thinking: A rhetorical approach to social psychology"
4178,"Crowell, A., & Kuhn, D. (2014). Developing dialogic argumentation skills: A 3-year intervention study. Journal of Cognition and Development, 15, 363-381,",import2016short/99,"Crowell, A., & Kuhn, D. (2014)",2014.0,"Crowell, A., & Kuhn, D. (2014). Developing dialogic argumentation skills: A 3-year intervention study"
4179,"Graff, G. (2003). Clueless in academe: How schooling obscures the life of the mind. New Haven: Yale University Press.",import2016short/99,"Graff, G. (2003)",2003.0,"Graff, G. (2003). Clueless in academe: How schooling obscures the life of the mind"
4180,"Kuhn, D. (1991). The skills of argument. Cambridge: Cambridge University Press.",import2016short/99,"Kuhn, D. (1991)",1991.0,"Kuhn, D. (1991). The skills of argument"
4181,"Kuhn, D., & Crowell, A. (2011). Dialogic argumentation as a vehicle for developing young adolescents’ thinking. Psychological Science, 22, 545-552",import2016short/99,"Kuhn, D., & Crowell, A. (2011)",2011.0,"Kuhn, D., & Crowell, A. (2011). Dialogic argumentation as a vehicle for developing young adolescents’ thinking"
4182,"Kuhn, D., Hemberger, L., & Khait, V. (2016). Argue with me: Argument as a path to developing students’ thinking and writing. New York: Routledge.",import2016short/99,"Kuhn, D., Hemberger, L., & Khait, V. (2016)",2016.0,"Kuhn, D., Hemberger, L., & Khait, V. (2016). Argue with me: Argument as a path to developing students’ thinking and writing"
4183,"Kuhn, D., Zillmer, N., Crowell, A., & Zavala, J. (2013). Developing norms of argumentation: Metacognitive, epistemological, and social dimensions of developing argumentive competence. Cognition & Instruction, 31, 456-496.",import2016short/99,"Kuhn, D., Zillmer, N., Crowell, A., & Zavala, J. (2013)",2013.0,"Kuhn, D., Zillmer, N., Crowell, A., & Zavala, J. (2013). Developing norms of argumentation: Metacognitive, epistemological, and social dimensions of developing argumentive competence"
4184,"Walton, D. N. (1989). Dialogue theory for critical thinking. Argumentation, 3, 169-184.",import2016short/99,"Walton, D. N. (1989)",1989.0,"Walton, D. N. (1989). Dialogue theory for critical thinking"
4185,"Bryan, W L., & Harter, N. (1897). Studies in the physiology and psychology of the telegraphic language. Psychological Review, 4, 27-53.",import2016short/139,"Bryan, W L., & Harter, N. (1897)",1897.0,"Bryan, W L., & Harter, N. (1897). Studies in the physiology and psychology of the telegraphic language"
4186,"Critcher, C. R. & Dunning, D. (2009). How Chronic Self-Views Influence (and Mislead) Self-Assessments of Task Performance: Self-Views Shape Bottom-Up Experiences with the Task. Journal of Personality and Social Psychology, 97(6), 931-945.",import2016short/139,"Critcher, C. R. & Dunning, D. (2009)",2009.0,"Critcher, C. R. & Dunning, D. (2009). How Chronic Self-Views Influence (and Mislead) Self-Assessments of Task Performance: Self-Views Shape Bottom-Up Experiences with the Task"
4187,"De Groot, A.D. (1978). Thought and Choice in Chess. The Hague: Mouton Publishers.",import2016short/139,"De Groot, A.D. (1978)",1978.0,"De Groot, A.D. (1978). Thought and Choice in Chess"
4188,"Dounas-Frazer, D. R. and Reinholz, D. L. (2015). Attending to lifelong learning skills through guided reflection in a physics class. American Journal of Physics, 83, p. 881.",import2016short/139,"Dounas-Frazer, D. R. and Reinholz, D. L. (2015)",2015.0,"Dounas-Frazer, D. R. and Reinholz, D. L. (2015). Attending to lifelong learning skills through guided reflection in a physics class"
4189,"Chi, M. T. H., Feltovich, P., & Glaser, R. (1981). Categorization and representation of physics problems by experts and novcies. Cognitive Science, 5, 121-152.",import2016short/139,"Chi, M. T. H., Feltovich, P., & Glaser, R. (1981)",1981.0,"Chi, M. T. H., Feltovich, P., & Glaser, R. (1981). Categorization and representation of physics problems by experts and novcies"
4190,"Chi, M. T.H. (2006). Two Approaches to the Study of Experts’ Characteristics. In K. A. Ericsson, N. Charness, P. Feltovich, & R. Hoffman (Eds.), The Cambridge handbook of expertise and expert performance (pp. 121-30), New York, NY: Cambridge University Press.",import2016short/139,"Chi, M. T.H. (2006)",2006.0,"Chi, M. T.H. (2006). Two Approaches to the Study of Experts’ Characteristics"
4191,"Elby, A. (1999). Another reason that physics students learn by rote. American Journal of Physics. 67, p. S52.",import2016short/139,"Elby, A. (1999)",1999.0,"Elby, A. (1999). Another reason that physics students learn by rote"
4192,"Kruger, J. & Dunning, D. (1999). Unskilled and unaware of it: How difficulties in recognizing one's own incompetence lead to inflated self-assessments. Journal of Personality and Social Psych., 77(6), 1121.",import2016short/139,"Kruger, J. & Dunning, D. (1999)",1999.0,"Kruger, J. & Dunning, D. (1999). Unskilled and unaware of it: How difficulties in recognizing one's own incompetence lead to inflated self-assessments"
4193,"Larkin, J. H., McDermott, J., Simon, D. P., & Simon, H. A. (1980). Models of competence in solving physics problems. Cognitive Science, 4, 317–345.",import2016short/139,"Larkin, J. H., McDermott, J., Simon, D. P., & Simon, H. A. (1980)",1980.0,"Larkin, J. H., McDermott, J., Simon, D. P., & Simon, H. A. (1980). Models of competence in solving physics problems"
4194,"Mani, M. and Mazumder, Q. (2012). Active learning in computer science education using metacognition. Proceedings of the 43rd ACM Technical Symposium on Comp. Science Educ., SIGCSE, New York, NY.",import2016short/139,"Mani, M. and Mazumder, Q. (2012)",2012.0,"Mani, M. and Mazumder, Q. (2012). Active learning in computer science education using metacognition"
4195,"Macnamara, B. N., Hambrick, D. Z. and Oswald, F. L., (2014). Deliberate Practice and Performance in Music, Games, Sports, Education and Professions: A Meta-Analysis. Psychological Science, 25(8) 1608-1618. NVivo qualitative data analysis Software; QSR International Pty Ltd. Version 10, 2012.",import2016short/139,"Macnamara, B. N., Hambrick, D. Z. and Oswald, F. L., (2014)",2014.0,"Macnamara, B. N., Hambrick, D. Z. and Oswald, F. L., (2014). Deliberate Practice and Performance in Music, Games, Sports, Education and Professions: A Meta-Analysis"
4196,"Redish, E. F., Saul, J. M. and Steinberg, R. N. (1998). Student expectations in introductory physics. American Journal of Physics, 66(212), 212-224.",import2016short/139,"Redish, E. F., Saul, J. M. and Steinberg, R. N. (1998)",1998.0,"Redish, E. F., Saul, J. M. and Steinberg, R. N. (1998). Student expectations in introductory physics"
4197,"Carter Ching, C., & Schaefer, S. (2015). Identities in Motion, Identities at Rest: Engaging Bodies and Minds in Fitness Gaming Research and Design. In Learning Technologies and the Body: Integration and Implementation In Formal and Informal Learning Environments (pp. 201–219). Taylor and Francis.",import2016short/101,"Carter Ching, C., & Schaefer, S. (2015)",2015.0,"Carter Ching, C., & Schaefer, S. (2015). Identities in Motion, Identities at Rest: Engaging Bodies and Minds in Fitness Gaming Research and Design"
4198,"Chi, M. T. H. (1997). Quantifying Qualitative Analyses of Verbal Data: A Practical Guide. Journal of the Learning Sciences, 6(3), 271–315.",import2016short/101,"Chi, M. T. H. (1997)",1997.0,"Chi, M. T. H. (1997). Quantifying Qualitative Analyses of Verbal Data: A Practical Guide"
4199,"Chinn, C. A., & Malhotra, B. A. (2001). Epistemologically authentic scientific reasoning. In K. Crowley, C. Schunn, & T. Okada (Eds.), Designing for science: Implications from everyday, classroom, and professional settings (pp. 351–392). Mahwah, NJ: Lawrence Erlbaum Associates Publishers.",import2016short/101,"Chinn, C. A., & Malhotra, B. A. (2001)",2001.0,"Chinn, C. A., & Malhotra, B. A. (2001). Epistemologically authentic scientific reasoning"
4200,"Clegg, T. L., Gardner, C. M., & Kolodner, J. L. (2010). Playing with Food: Moving from Interests and Goals into Scientifically Meaningful Experiences. In Proceedings of the 9th International Conference of the Learning Sciences - Volume 1 (pp. 1135–1142). International Society of the Learning Sciences.",import2016short/101,"Clegg, T. L., Gardner, C. M., & Kolodner, J. L. (2010)",2010.0,"Clegg, T. L., Gardner, C. M., & Kolodner, J. L. (2010). Playing with Food: Moving from Interests and Goals into Scientifically Meaningful Experiences"
4201,"Kang, S., Norooz, L., Oguamana, V., Plane, A. C., Clegg, T. L., & Froehlich, J. E. (2016). SharedPhys: Live Physiological Sensing, Whole-Body Interaction, and Large-Screen Visualizations to Support Shared Inquiry Experiences. In Proceedings of the 15th International Conference on Interation Design and Children. ACM.",import2016short/101,"Kang, S., Norooz, L., Oguamana, V., Plane, A. C., Clegg, T. L., & Froehlich, J. E. (2016)",2016.0,"Kang, S., Norooz, L., Oguamana, V., Plane, A. C., Clegg, T. L., & Froehlich, J. E. (2016). SharedPhys: Live Physiological Sensing, Whole-Body Interaction, and Large-Screen Visualizations to Support Shared Inquiry Experiences"
4202,"Lee, V. R. (2015). Learning Technologies and the Body: Integration and Implementation In Formal and Informal Learning Environments. Hoboken: Taylor and Francis.",import2016short/101,"Lee, V. R. (2015)",2015.0,"Lee, V. R. (2015). Learning Technologies and the Body: Integration and Implementation In Formal and Informal Learning Environments"
4203,"Lui, M., Kuhn, A. C., Acosta, A., Quintana, C., & Slotta, J. D. (2014). Supporting Learners in Collecting and Exploring Data from Immersive Simulations in Collective Inquiry. In Proceedings of the SIGCHI Conference on Human Factors in Computing Systems (pp. 2103–2112). New York, NY, USA: ACM.",import2016short/101,"Lui, M., Kuhn, A. C., Acosta, A., Quintana, C., & Slotta, J. D. (2014)",2014.0,"Lui, M., Kuhn, A. C., Acosta, A., Quintana, C., & Slotta, J. D. (2014). Supporting Learners in Collecting and Exploring Data from Immersive Simulations in Collective Inquiry"
4204,"Lui, M., Slotta, J. D., & Cober, R. (2012). EvoRoom & HelioRoom: Designing Learning Experiences for Collective Inquiry. Special Issue on EIST in Personal and Ubiquitous Computing (PUC) Journal.",import2016short/101,"Lui, M., Slotta, J. D., & Cober, R. (2012)",2012.0,"Lui, M., Slotta, J. D., & Cober, R. (2012). EvoRoom & HelioRoom: Designing Learning Experiences for Collective Inquiry"
4205,"Norooz, L., Mauriello, M. L., Jorgensen, A., McNally, B., & Froehlich, J. E. (2015). BodyVis: A New Approach to Body Learning Through Wearable Sensing and Visualization. In Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems (pp. 1025–1034).",import2016short/101,"Norooz, L., Mauriello, M. L., Jorgensen, A., McNally, B., & Froehlich, J. E. (2015)",2015.0,"Norooz, L., Mauriello, M. L., Jorgensen, A., McNally, B., & Froehlich, J. E. (2015). BodyVis: A New Approach to Body Learning Through Wearable Sensing and Visualization"
4206,"Amabile, T. M. (1982). Social psychology of creativity: A consensual assessment technique. Journal of Personality and Social Psychology. 43(5). 997-1013. doi: 10.1037/0022-3514.43.5.997",import2016short/137,"Amabile, T. M. (1982)",1982.0,"Amabile, T. M. (1982). Social psychology of creativity: A consensual assessment technique"
4207,"Bevan, B., Gutwill, J. P., Petrich, M. and Wilkinson, K. (2015), Learning Through STEM-Rich Tinkering: Findings from a jointly negotiated research project taken up in practice. Sci. Ed., 99: 98–120. doi: 10.1002/sce.21151.",import2016short/137,"Bevan, B., Gutwill, J. P., Petrich, M. and Wilkinson, K. (2015)",2015.0,"Bevan, B., Gutwill, J. P., Petrich, M. and Wilkinson, K. (2015), Learning Through STEM-Rich Tinkering: Findings from a jointly negotiated research project taken up in practice"
4208,"Brock, R. (2015). Intuition and insight: two concepts that illuminate the tacit in science education. Studies in Science Education. 51(2), 127-167.",import2016short/137,"Brock, R. (2015)",2015.0,"Brock, R. (2015). Intuition and insight: two concepts that illuminate the tacit in science education"
4209,"Goel, V. (2014). Creative brains: designing in the real world. Frontiers in Human Neuroscience, 8(241), 1–14.",import2016short/137,"Goel, V. (2014)",2014.0,"Goel, V. (2014). Creative brains: designing in the real world"
4210,"Goel, V., & Pirolli, P. (1992). The structure of design problem spaces. Cognitive Science, 16, 395–429.",import2016short/137,"Goel, V., & Pirolli, P. (1992)",1992.0,"Goel, V., & Pirolli, P. (1992). The structure of design problem spaces"
4211,"Hills, T. T., Todd, P. M., Lazer, D., Redish, A. D., Couzin, I. D., Bateson, M., … Wolfe, J. W. (2015). Trends in Cognitive Sciences, 19(1), 46-54.",import2016short/137,"Hills, T. T., Todd, P. M., Lazer, D., Redish, A. D., Couzin, I. D., Bateson, M., … Wolfe, J. W. (2015)",2015.0,"Hills, T. T., Todd, P. M., Lazer, D., Redish, A. D., Couzin, I. D., Bateson, M., … Wolfe, J. W. (2015). Trends in Cognitive Sciences, 19(1), 46-54"
4212,"Honey, M., & Kanter, D. E. (Eds.) (2013). Design, make, play: Growing the next generation of STEM innovators. New York, NY: Routledge.",import2016short/137,"Honey, M., & Kanter, D. E. (Eds.) (2013)",2013.0,"Honey, M., & Kanter, D. E. (Eds.) (2013). Design, make, play: Growing the next generation of STEM innovators"
4213,"Hutchins, E. (2013). The cultural ecosystem of human cognition. Philosophical Psychology. 27(1). 34-49. doi:10.1080/09515089.2013.830548",import2016short/137,"Hutchins, E. (2013)",2013.0,"Hutchins, E. (2013). The cultural ecosystem of human cognition"
4214,"Kelley, D., & Kelley, T. (2013). Creative confidence. New York, NY: Random House Kirsh, D. & Maglio, P. (1994). On distinguishing between epistemic and pragmatic action. Cognitive Science. 18, 513-549.",import2016short/137,"Kelley, D., & Kelley, T. (2013)",2013.0,"Kelley, D., & Kelley, T. (2013). Creative confidence"
4215,"Reed, S. K. (2015). The structure of ill-structured (and well-structured) problems revisited. Educational Psychology Review. Advance online publication. doi: 10.1007/s10648-015-9343-1",import2016short/137,"Reed, S. K. (2015)",2015.0,"Reed, S. K. (2015). The structure of ill-structured (and well-structured) problems revisited"
4216,"Ryle, G. (1953). Ordinary language. The Philosophical Review, 62(2), 167-186. doi:10.2307/218279 Acknowledgments This project is supported by a Singapore Ministry of Education OER grant number OER 12/14 MT. The opinions expressed here may not be shared by the funding agency.",import2016short/137,"Ryle, G. (1953)",1953.0,"Ryle, G. (1953). Ordinary language"
4217,"Bielaczyc, K., Kapur, M., & Collins, A. (2013). Cultivating a community of learners in K-12 classrooms. In C. E. Hmelo-Silver, C. A. Zhang, C. K. Chan, & A. M. O’Donnell (Eds.), International handbook of collaborative learning (pp. 233–249), New York, NY: Routledge.",import2016short/108,"Bielaczyc, K., Kapur, M., & Collins, A. (2013)",2013.0,"Bielaczyc, K., Kapur, M., & Collins, A. (2013). Cultivating a community of learners in K-12 classrooms"
4218,"Bransford, J. D., Brown, A. L., & Cocking, R. R. (2000). How people learn: brain, mind, experience, and school (Expanded ed.). Washington, DC: National Academy Press.",import2016short/108,"Bransford, J. D., Brown, A. L., & Cocking, R. R. (2000)",2000.0,"Bransford, J. D., Brown, A. L., & Cocking, R. R. (2000). How people learn: brain, mind, experience, and school (Expanded ed"
4219,"Brown, A. L., & Campione, J. C. (1994). Guided discovery in a community of learners. In K. McGilly (Ed.), Classroom lessons: Integrating cognitive theory and classroom practice (pp. 229-272). Cambridge, MA.",import2016short/108,"Brown, A. L., & Campione, J. C. (1994)",1994.0,"Brown, A. L., & Campione, J. C. (1994). Guided discovery in a community of learners"
4220,"Collins, A., & Bielaczyc, K. (1999). The enculturation of educational thinking. The Journal of the Learning Sciences, 8(1), 129-138.",import2016short/108,"Collins, A., & Bielaczyc, K. (1999)",1999.0,"Collins, A., & Bielaczyc, K. (1999). The enculturation of educational thinking"
4221,"Hod, Y., & Ben-Zvi, D. (2015). Students negotiating and designing their collaborative learning norms: A group developmental perspective in learning communities. Interactive Learning Environments, 23(5), 578-594.",import2016short/108,"Hod, Y., & Ben-Zvi, D. (2015)",2015.0,"Hod, Y., & Ben-Zvi, D. (2015). Students negotiating and designing their collaborative learning norms: A group developmental perspective in learning communities"
4222,"Hod, Y., & Ben-Zvi, D. (2014). A group psychotherapeutic perspective on transforming participation in a learning community. Instructional Science, 42(6), 949-970.",import2016short/108,"Hod, Y., & Ben-Zvi, D. (2014)",2014.0,"Hod, Y., & Ben-Zvi, D. (2014). A group psychotherapeutic perspective on transforming participation in a learning community"
4223,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation. Cambridge, UK: Cambridge University Press.",import2016short/108,"Lave, J., & Wenger, E. (1991)",1991.0,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation"
4224,"Rogoff, B. (1994). Developing understanding of the idea of communities of learners. Mind, Culture, and Activity, 1(4), 209-229.",import2016short/108,"Rogoff, B. (1994)",1994.0,"Rogoff, B. (1994). Developing understanding of the idea of communities of learners"
4225,"Sawyer, K. (Ed.) (2014). Grounding educational innovation in the learning sciences. The Cambridge handbook of the learning sciences: 2nd edition (pp. 726-746). NY, NY: Cambridge University Press.",import2016short/108,"Sawyer, K. (Ed.) (2014)",2014.0,"Sawyer, K. (Ed.) (2014). Grounding educational innovation in the learning sciences"
4226,"Sfard, A. (1998). On two metaphors for learning and the dangers of choosing just one. Educational Researcher, 27(2), 4-13.",import2016short/108,"Sfard, A. (1998)",1998.0,"Sfard, A. (1998). On two metaphors for learning and the dangers of choosing just one"
4227,"Wertsch, J. V. (2007). Mediation. In H. Daniels, H., M. Cole, & J. V. Wertsch (Eds.). The Cambridge Companion to Vygotsky (pp. l78 - 192). Cambridge, UK: Cambridge University Press.",import2016short/108,"Wertsch, J. V. (2007)",2007.0,"Wertsch, J. V. (2007). Mediation"
4228,"Krist, C., Schwarz, C. V., & Reiser, B. J. (manuscript under review). Identifying and supporting crosscutting epistemic heuristics that guide mechanistic reasoning in science learning.",import2016short/130,,,"Krist, C"
4229,"Fairclough, Norman. (1995) Analysing Discourse: Textual Analysis for Social Research. Routledge, London, UK.",import2016short/130,"Fairclough, Norman. (1995)",1995.0,"Fairclough, Norman. (1995) Analysing Discourse: Textual Analysis for Social Research"
4230,"Fairclough, Norman. (2003) Critical Discourse Analysis: The Critical Study of Language. Longman Pub Group, London, UK.",import2016short/130,"Fairclough, Norman. (2003)",2003.0,"Fairclough, Norman. (2003) Critical Discourse Analysis: The Critical Study of Language"
4231,"Jacobson, M., and Wilensky, U. (2006) “Complex Systems in Education: Scientific and Educational Importance and Implications for the Learning Sciences.” Journal of the Learning Sciences 15, no. 1: 11.",import2016short/130,"Jacobson, M., and Wilensky, U. (2006)",2006.0,"Jacobson, M., and Wilensky, U. (2006) “Complex Systems in Education: Scientific and Educational Importance and Implications for the Learning Sciences"
4232,"Lee, Y. C. (2012). Socio-scientific issues in health contexts: treading a rugged terrain. International Journal of Science Education, 34(3), 459-483.",import2016short/130,"Lee, Y. C. (2012)",2012.0,"Lee, Y. C. (2012). Socio-scientific issues in health contexts: treading a rugged terrain"
4233,"Machamer, P., Darden, L., & Craver, C. F. (2000). Thinking about mechanisms. Philosophy of science, 1-25. National Council for the Social Studies (NCSS). The College, Career, and Civic Life (C3) Framework for Social Studies State Standards: Guidance for Enhancing the Rigor of K–12 Civics, Economics, Geography, and History. Author Silver Spring, MD, 2013.",import2016short/130,"Machamer, P., Darden, L., & Craver, C. F. (2000)",2000.0,"Machamer, P., Darden, L., & Craver, C. F. (2000). Thinking about mechanisms"
4234,"NGSS Lead States. (2013). Next Generation Science Standards: For States, By States. National Academies Press, Washington DC.",import2016short/130,NGSS Lead States. (2013),2013.0,"NGSS Lead States. (2013). Next Generation Science Standards: For States, By States"
4235,"Pedretti, E., & Nazir, J. (2011). Currents in STSE education: Mapping a complex field, 40 years on. Science Education, 95(4), 601-626.",import2016short/130,"Pedretti, E., & Nazir, J. (2011)",2011.0,"Pedretti, E., & Nazir, J. (2011). Currents in STSE education: Mapping a complex field, 40 years on"
4236,"Russ, R. S., Scherr, R. E., Hammer, D., & Mikeska, J. (2008). Recognizing mechanistic reasoning in student scientific inquiry: A framework for discourse analysis developed from philosophy of science. Science Education, 92(3), 499-525.",import2016short/130,"Russ, R. S., Scherr, R. E., Hammer, D., & Mikeska, J. (2008)",2008.0,"Russ, R. S., Scherr, R. E., Hammer, D., & Mikeska, J. (2008). Recognizing mechanistic reasoning in student scientific inquiry: A framework for discourse analysis developed from philosophy of science"
4237,"Senge, P. M., & Sterman, J. D. (1992). Systems thinking and organizational learning: Acting locally and thinking globally in the organization of the future.European journal of operational research, 59(1), 137-150.",import2016short/130,"Senge, P. M., & Sterman, J. D. (1992)",1992.0,"Senge, P. M., & Sterman, J. D. (1992). Systems thinking and organizational learning: Acting locally and thinking globally in the organization of the future"
4238,"van Dijk, Teun A. (1998) Ideology: A Multidisciplinary Approach. 1st ed. SAGE Publications Ltd, London, UK.",import2016short/130,"van Dijk, Teun A. (1998)",1998.0,"van Dijk, Teun A. (1998) Ideology: A Multidisciplinary Approach"
4239,"Vattam, S. S., Goel, A. K., Rugaber, S., Hmelo-Silver, C. E., Jordan, R., Gray, S., & Sinha, S. (2011). Understanding complex natural systems by articulating structure-behavior-function models. Journal of Educational Technology & Society, 14(1), 66-81.",import2016short/130,"Vattam, S. S., Goel, A. K., Rugaber, S., Hmelo-Silver, C. E., Jordan, R., Gray, S., & Sinha, S. (2011)",2011.0,"Vattam, S. S., Goel, A. K., Rugaber, S., Hmelo-Silver, C. E., Jordan, R., Gray, S., & Sinha, S. (2011). Understanding complex natural systems by articulating structure-behavior-function models"
4240,"Wilensky, U. (1999). NetLogo. http:ccl.northwestern.edu/netlogo. Center for Connected Learning and ComputerBased Modeling, Northwestern University. Evanston, IL.",import2016short/130,"Wilensky, U. (1999)",1999.0,"Wilensky, U. (1999). NetLogo"
4241,"Wilensky, U., & Resnick, M. (1999). Thinking in levels: A dynamic systems approach to making sense of the world. Journal of Science Education and Technology, 8(1), 3-19.",import2016short/130,"Wilensky, U., & Resnick, M. (1999)",1999.0,"Wilensky, U., & Resnick, M. (1999). Thinking in levels: A dynamic systems approach to making sense of the world"
4242,"de Jong, T. (2006). Computer simulations - Technological advances in inquiry learning. Science, 312, 532-533.",import2016short/112,"de Jong, T. (2006)",2006.0,"de Jong, T. (2006). Computer simulations - Technological advances in inquiry learning"
4243,"de Jong, T., & Njoo, M. (1992). Learning and instruction with computer simulations: Learning processes involved Computer-based learning environments and problem solving (pp. 411-427): Springer.",import2016short/112,"de Jong, T., & Njoo, M. (1992)",1992.0,"de Jong, T., & Njoo, M. (1992). Learning and instruction with computer simulations: Learning processes involved Computer-based learning environments and problem solving (pp"
4244,"de Jong, T., & van Joolingen, W. R. (1998). Scientific discovery learning with computer simulations of conceptual domains. Review of Educational Research, 68, 179-201. doi:10.2307/1170753",import2016short/112,"de Jong, T., & van Joolingen, W. R. (1998)",1998.0,"de Jong, T., & van Joolingen, W. R. (1998). Scientific discovery learning with computer simulations of conceptual domains"
4245,"Edelson, D. C., Gordin, D. N., & Pea, R. D. (1999). Addressing the challenges of inquiry-based learning through technology and curriculum design. Journal of the Learning Sciences, 8, 391-450.",import2016short/112,"Edelson, D. C., Gordin, D. N., & Pea, R. D. (1999)",1999.0,"Edelson, D. C., Gordin, D. N., & Pea, R. D. (1999). Addressing the challenges of inquiry-based learning through technology and curriculum design"
